Year,Cpv,CountryFrom,CountryTo,EuroTotal
2009,79100000,BE,SK,-500000
2009,18220000,BE,UK,-1511139.92
2009,30200000,BE,UK,1631000
2009,31712000,BE,UK,231779
2009,33000000,BE,UK,-11830681.96
2009,33111730,BE,UK,-11906206.93
2009,33158210,BE,UK,-171728.74
2009,39522540,BE,UK,-398455.56
2009,42997300,BE,UK,203520
2009,48610000,BE,UK,82704
2009,72000000,BE,UK,5931896.86
2009,73000000,BE,UK,2076250
2009,79311000,BE,UK,-1565217.39
2009,32333000,BE,ZA,3104494
2009,42112300,BG,BZ,1447600
2009,31730000,BG,CH,396600.88
2009,34143000,BG,CH,4310620
2009,34631000,BG,CH,168987.36
2009,66171000,BG,CY,8986448
2009,30000000,BG,CZ,334901.32
2009,45234100,BG,CZ,35790808.88
2009,45317000,BG,CZ,19940689.17
2009,71000000,BG,CZ,955000
2009,03340000,BG,DE,5146436.24
2009,18512100,BG,DE,765555
2009,34521000,BG,DE,44290000
2009,37311300,BG,DE,54000
2009,45000000,BG,DE,7500000
2009,45231300,BG,DE,21960856
2009,45317000,BG,DE,19940689.17
2009,48000000,BG,DE,536353.41
2009,71000000,BG,DE,2596132.46
2009,71355100,BG,DE,2044053.07
2009,75211200,BG,DE,-217860
2009,34521000,BG,EE,9708211.48
2009,42163000,BG,ES,540000
2009,45000000,BG,ES,38302934.86
2009,42131240,BG,FI,242629.31
2009,35812200,BG,FR,-940200
2009,71000000,BG,FR,920275
2009,79100000,BG,FR,1212875
2009,33141641,BG,HR,540000
2009,76600000,BG,HR,345000
2009,38000000,BG,HU,175600
2009,18512100,BG,IN,1242332.4
2009,18000000,BG,IT,-8034850
2009,18512100,BG,IT,292677.7
2009,34711500,BG,IT,14189000
2009,38500000,BG,IT,242503.72
2009,71324000,BG,IT,598220.68
2009,33100000,BG,LU,2769278.81
2009,71000000,BG,MK,-841261.91
2009,31600000,BG,RO,250536.86
2009,42417310,BG,TR,826599.6
2009,34622300,BG,UA,1021982.31
2009,71221000,BG,UK,2600000
2009,44000000,BG,US,5017744.48
2009,79100000,BG,US,394.32
2009,79810000,BH,SI,-298379.78
2009,55522000,BH,UK,-241495.5
2009,60424120,BJ,FR,-26489172
2009,35331500,BR,LV,-398375.41
2009,32333000,CA,DE,-835655
2009,75211200,CA,DE,-296700
2009,98910000,CA,DE,-296700
2009,33000000,CA,FI,-273300
2009,33182220,CA,FR,-619500
2009,50800000,CA,FR,-3900000
2009,71351710,CA,FR,-536450
2009,72920000,CA,FR,-104034
2009,79340000,CA,FR,-850000
2009,79342200,CA,FR,-3731340
2009,77200000,CA,GR,-493584.28
2009,31000000,CA,IE,-6500000
2009,79419000,CA,IE,-480000
2009,79800000,CA,IE,-12000000
2009,72300000,CA,LT,-24.89
2009,35642000,CA,NL,-479228
2009,32580000,CA,NO,-400000
2009,22450000,CA,RO,-3016859.76
2009,22458000,CA,RO,-1597132.21
2009,30210000,CA,RO,-1331788.49
2009,34741400,CA,RO,-425000
2009,71600000,CA,RO,-6173969.43
2009,32000000,CA,SE,-249010.61
2009,48900000,CA,SK,-940622
2009,55522000,CA,UK,-754751.17
2009,72212190,CA,UK,-1683615.06
2009,79212000,CA,UK,-627445.17
2009,34134100,CD,IT,-270900
2009,34410000,CD,IT,-83786.21
2009,14320000,CH,DE,418182.78
2009,18000000,CH,DE,291.4
2009,31000000,CH,DE,656932
2009,31720000,CH,DE,3250370.2
2009,32351200,CH,DE,730000
