YEAR,CPV,ID_NOTICE_CAN,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE,VALUE_EURO_FIN_2
2010,79311100,20102429,RO,BE,585500
2010,66510000,20102505,IT,UK,2125534.2
2010,66510000,20102505,IT,AT,2125534.2
2010,66510000,20102505,IT,UK,2125534.2
2010,43100000,20102621,PL,CZ,354978.55
2010,48000000,20102626,LT,LV,118576.32
2010,48000000,20102626,LT,LV,118576.32
2010,24951310,20102629,PL,CH,1053395.75
2010,48920000,20102664,IT,IE,19497162
2010,31174000,20102680,RO,IT,5218789.71
2010,31174000,20102680,RO,IT,5218789.71
2010,31174000,20102680,RO,IT,5218789.71
2010,42418210,20102682,RO,PL,537000
2010,37451000,20102720,NO,FI,349811.98
2010,45000000,20103279,DE,BE,11170767.23
2010,31712348,20103409,UK,DE,303086.82
2010,48000000,20103466,RO,DE,631382
2010,39100000,20103470,UK,IE,209829.34
2010,33000000,20103497,PL,UK,3616110.21
2010,33000000,20103497,PL,UK,3616110.21
2010,72321000,20103509,SI,US,197645.02
2010,38500000,20103524,FR,CA,95000
2010,15851250,20104441,BE,IT,1134769.8
2010,15612130,20104442,BE,IT,1194746.62
2010,15242000,20104443,BE,IT,1826967.75
2010,15242000,20104443,BE,IT,1826967.75
2010,33141100,20104460,PL,UK,102703.23
2010,38434540,20104462,DK,DE,263857
2010,32344210,20104541,RO,CH,462406.82
2010,71520000,20104765,RO,PT,106580.88
2010,71243000,20104884,PL,IT,1979999.5
2010,24615000,20104897,RO,PL,36376.05
2010,15831200,20105502,BE,IT,501284.7
2010,22200000,20105610,HU,AT,81913.08
2010,22200000,20105610,HU,CZ,81913.08
2010,33661200,20105639,MT,UK,615600
2010,38511000,20105659,PT,ES,749890
2010,72000000,20105765,UK,IE,1534045.98
2010,71356100,20105773,RO,PL,69626.32
2010,72268000,20105785,CZ,FR,617000
2010,44614100,20105840,FR,LU,160107.5
2010,92312140,20105848,PL,DE,76980
2010,48000000,20105921,DE,UK,128749.58
2010,79411000,20106059,RO,UK,1068583.4
2010,71310000,20106062,RO,UK,104458.48
2010,66515200,20106171,DK,DE,2109410.12
2010,66515200,20106171,DK,DE,2109410.12
2010,31214110,20106183,RO,IT,444615.05
2010,50610000,20106199,IT,UK,4080000
2010,34144300,20106212,CH,AT,1273757.81
2010,71300000,20106225,CH,DE,3083063.1
2010,45300000,20106698,BE,LU,19225
2010,44221220,20106721,AT,IT,268570.72
2010,45111211,20106753,SE,NL,21421156.93
2010,45212313,20106757,DE,BE,498291.26
2010,48000000,20106789,RO,UK,455000
2010,48900000,20106790,RO,FR,2087783.82
2010,33182220,20106813,LT,LV,151019.61
2010,33696500,20106830,FR,DE,429353.08
2010,18110000,20106864,FR,BE,33882.6
2010,03340000,20106894,LV,FR,213430
2010,03340000,20106894,LV,DE,213430
2010,33000000,20106977,LV,LT,7915358.4
2010,33000000,20106977,LV,LT,7915358.4
2010,33000000,20106977,LV,EE,7915358.4
2010,77312100,20107127,IE,UK,171806.17
2010,71700000,20107244,RO,HU,458192.87
2010,72212218,20107290,ES,IE,1468789.2
2010,45210000,20108123,FR,ZA,2991582.26
2010,45210000,20108132,AT,DE,1657888.1
2010,42990000,20108226,DE,AT,214752
2010,35300000,20108235,BE,ES,668821
2010,35330000,20108250,BE,DE,1172245
2010,24900000,20108366,FR,NL,1440000
2010,98111000,20108407,HU,AT,1742413.24
2010,33128000,20108444,PL,CA,27609.18
2010,33182300,20108480,IE,UK,735000
2010,33182300,20108480,IE,UK,735000
2010,35111500,20108503,IT,AT,268000
2010,35111500,20108505,IT,AT,226800
2010,71350000,20108697,IE,UK,493827.16
2010,71610000,20108894,AT,DE,495288.28
2010,45251000,20108997,EE,FI,10650000
2010,66500000,20109053,NO,CH,887023.23
2010,45432130,20109803,LU,DE,205164.35
2010,45252124,20109832,ES,DK,4137931.03
2010,45252124,20109832,ES,DK,4137931.03
2010,22212000,20109939,IT,NL,4645748.5
2011,79341000,20111052,ES,IE,1500000
2011,30132100,20111075,PT,FR,1098791
2011,32522000,20111113,BG,AT,385005.91
2011,72610000,20111114,BG,AT,444374.32
2011,50531100,20111119,PL,DE,448963743.14
2011,45243300,20111915,FR,MC,1318341
2011,45220000,20111941,DE,AT,407710.45
2011,33696500,20112086,FR,DE,310659.45
2011,33192120,20112146,BE,FR,1321941.65
2011,34144213,20112151,DE,AT,303993.09
2011,34144213,20112151,DE,AT,303993.09
2011,33696500,20112153,PL,CH,5103.63
2011,38515200,20112205,PL,DE,270591.66
2011,31682540,20112219,MT,BE,9867825
2011,33169000,20112230,PL,UK,144580.39
2011,92511000,20112260,EE,US,345788.6
2011,71247000,20112486,PL,FR,1304612.85
2011,31213200,20112657,DE,HR,4198500
2011,42413500,20112676,FR,DE,366464
2011,38432210,20113373,PL,US,254579.69
2011,48000000,20113421,SE,DE,2547121.75
2011,18411000,20113559,FI,DK,7490000
2011,18411000,20113559,FI,LT,7490000
2011,18411000,20113559,FI,NO,7490000
2011,18411000,20113559,FI,EE,7490000
2011,79419000,20113735,HU,NL,176445
2011,71240000,20113799,IT,UK,202065
2011,45112714,20113860,BE,NL,150000
2011,90510000,20113904,FR,DE,450000
2011,50240000,20113956,HU,UK,818863.87
2011,44310000,20114075,FI,BH,8637221
2011,44310000,20114075,FI,IN,8637221
2011,42123100,20114078,SK,IT,688000
2011,34913000,20114111,RO,IT,28193.08
2011,48440000,20114146,IT,UK,882500
2011,48710000,20114166,IT,IE,4469732.5
2011,34730000,20114958,BE,FR,75000
2011,48800000,20114977,EE,FI,230280
2011,33600000,20115049,UK,AW,1714147.12
2011,42414110,20115059,FR,AT,2194901
2011,79000000,20115139,HU,IQ,1128000
2011,79000000,20115139,HU,RO,1128000
2011,79000000,20115139,HU,RO,1128000
2011,79000000,20115139,HU,RO,1128000
2011,79000000,20115139,HU,RO,1128000
2011,79000000,20115139,HU,RO,1128000
2011,79000000,20115139,HU,RS,1128000
2011,79000000,20115139,HU,RS,1128000
2011,79000000,20115139,HU,SK,1128000
2011,79000000,20115139,HU,TN,1128000
2011,79999100,20115151,UK,FR,1690291.9
2011,22200000,20115232,FR,DE,60167.73
2011,22200000,20115232,FR,DE,60167.73
2011,22200000,20115232,FR,DE,60167.73
2011,22200000,20115232,FR,DE,60167.73
2011,72230000,20115426,IT,US,1960000
2011,42962200,20116076,FI,DE,2400000
2011,15894300,20116107,FR,IT,3962300
2011,24313310,20116130,CZ,PL,4281972.35
2011,24313310,20116130,CZ,PL,4281972.35
2011,33150000,20116131,CZ,SK,369653.67
2011,32422000,20116203,BE,PL,519144.02
2011,71240000,20116324,FR,DE,4263831
2011,66500000,20116638,NO,DE,1591089.9
2011,18400000,20117440,NL,DE,743010
2011,44100000,20117443,SI,AT,116105
2011,44100000,20117444,SI,AT,116146.9
2011,34722100,20117447,BE,UK,264512.99
2011,32530000,20117460,BE,FR,65581
2011,22113000,20117462,SI,DE,368000
2011,34144213,20117473,DE,AT,183802.1
2011,34144213,20117473,DE,AT,183802.1
2011,38500000,20117487,PL,NL,131048.88
2011,33111730,20117498,LT,LV,1254862.98
2011,38430000,20117526,EE,LT,82900
2011,38810000,20117535,FR,DE,3836733
2011,38112100,20117639,PL,CZ,109889.53
2011,48710000,20117660,DE,UK,585934.94
2011,72320000,20117692,SI,DE,413833.2
2011,72320000,20117695,SI,NL,367211.75
2011,50800000,20117728,SI,US,244716
2011,98390000,20117763,GR,HR,268900000
2011,72320000,20117848,FR,UK,422987.3
2011,50530000,20117931,PL,DE,1155000
2011,71332000,20118122,MT,IT,1106452.4
2011,79999100,20118196,NO,DK,2309646.62
2011,50410000,20118198,NO,SE,86323.04
2011,45421146,20119094,AT,DE,572013.06
2011,38000000,20119151,FI,DK,271200
2011,33735100,20119231,UK,NL,4002765.36
2011,38400000,20119269,LT,CZ,68141.37
2011,38000000,20119279,LT,DE,1829982.77
2011,37535240,20119292,ES,IT,157528
2011,35331500,20119312,FR,ES,73400
2011,22212000,20119320,ES,NL,1562604.07
2011,33696300,20119353,FR,DE,550000
2011,72319000,20119381,ES,UK,269306.84
2011,72319000,20119382,ES,UK,634974
2011,72319000,20119383,ES,UK,630503.25
2011,72320000,20119385,ES,US,715043.44
2011,48190000,20119436,DE,UK,691224.59
2011,79400000,20119463,ES,EE,271200
2011,92500000,20119473,EE,US,21432.52
2011,71400000,20119532,FR,UK,498996.66
2011,34630000,20119893,LU,BE,21061752
2011,34630000,20119893,LU,BE,21061752
2011,31174000,20119913,UK,BE,5645941.84
2011,42511100,20119914,SE,DK,3322332.72
2012,34631100,20121128,ES,FR,2131500
